name,name_zh,name_en,type,programs,programs_en,country,country_en,listed_on,remarks
TechInsights新加坡公司,TechInsights新加坡公司,TechInsights Singapore Pte. Ltd.,entity,不可靠实体清单,Unreliable Entity List,新加坡,Singapore,2025-10-09,发布部门：商务部｜公告：2025年第10号公告
TechInsights澳大利亚公司,TechInsights澳大利亚公司,TechInsights Australia Pty Ltd,entity,不可靠实体清单,Unreliable Entity List,澳大利亚,Australia,2025-10-09,发布部门：商务部｜公告：2025年第10号公告
TechInsights巴西公司,TechInsights巴西公司,TechInsights Brasil Ltda.,entity,不可靠实体清单,Unreliable Entity List,巴西,Brazil,2025-10-09,发布部门：商务部｜公告：2025年第10号公告
TechInsights墨西哥公司,TechInsights墨西哥公司,TechInsights México S.A. de C.V.,entity,不可靠实体清单,Unreliable Entity List,墨西哥,Mexico,2025-10-09,发布部门：商务部｜公告：2025年第10号公告
TechInsights荷兰公司,TechInsights荷兰公司,TechInsights Netherlands B.V.,entity,不可靠实体清单,Unreliable Entity List,荷兰,Netherlands,2025-10-09,发布部门：商务部｜公告：2025年第10号公告
TechInsights瑞典公司,TechInsights瑞典公司,TechInsights Sweden AB,entity,不可靠实体清单,Unreliable Entity List,瑞典,Sweden,2025-10-09,发布部门：商务部｜公告：2025年第10号公告
应用DNA科学公司,应用DNA科学公司,"Applied DNA Sciences, Inc.",entity,不可靠实体清单,Unreliable Entity List,美国,United States,2026-08-05,发布部门：商务部｜公告：2026年第2号公告
阿斯特拉公司,阿斯特拉公司,"Astra Space, Inc.",entity,不可靠实体清单,Unreliable Entity List,美国,United States,2026-08-05,发布部门：商务部｜公告：2026年第2号公告
布里克斯通金属公司,布里克斯通金属公司,Brixton Metals Corporation,entity,不可靠实体清单,Unreliable Entity List,美国,United States,2026-08-05,发布部门：商务部｜公告：2026年第2号公告
克里蒂卡安全公司,克里蒂卡安全公司,Kritika Security Solutions LLC,entity,不可靠实体清单,Unreliable Entity List,美国,United States,2026-08-05,发布部门：商务部｜公告：2026年第2号公告
纳维达斯公司,纳维达斯公司,Navidas Corporation,entity,不可靠实体清单,Unreliable Entity List,美国,United States,2026-08-05,发布部门：商务部｜公告：2026年第2号公告
帕拉丁防务公司,帕拉丁防务公司,Paladine Defense Group LLC,entity,不可靠实体清单,Unreliable Entity List,美国,United States,2026-08-05,发布部门：商务部｜公告：2026年第2号公告
通用动力公司,通用动力公司,General Dynamics Corporation,entity,出口管制管控名单,Export control list,美国,United States,2025-01-02,发布部门：商务部｜公告：2025年第1号公告
L3哈里斯公司,L3哈里斯公司,"L3Harris Technologies, Inc.",entity,出口管制管控名单,Export control list,美国,United States,2025-01-02,发布部门：商务部｜公告：2025年第1号公告
英特磊公司,英特磊公司,IntelliTech Corporation,entity,出口管制管控名单,Export control list,美国,United States,2025-01-02,发布部门：商务部｜公告：2025年第1号公告
波音圣路易斯分公司,波音圣路易斯分公司,Boeing St. Louis,entity,出口管制管控名单,Export control list,美国,United States,2025-01-02,发布部门：商务部｜公告：2025年第1号公告
霍尼韦尔航空航天公司,霍尼韦尔航空航天公司,Honeywell Aerospace,entity,出口管制管控名单,Export control list,美国,United States,2025-01-02,发布部门：商务部｜公告：2025年第1号公告
诺斯罗普·格鲁曼公司,诺斯罗普·格鲁曼公司,Northrop Grumman Corporation,entity,出口管制管控名单,Export control list,美国,United States,2025-01-02,发布部门：商务部｜公告：2025年第1号公告
雷神技术公司,雷神技术公司,RTX Corporation,entity,出口管制管控名单,Export control list,美国,United States,2025-01-02,发布部门：商务部｜公告：2025年第1号公告
泰雷兹美国公司,泰雷兹美国公司,Thales USA Inc.,entity,出口管制管控名单,Export control list,美国,United States,2025-01-02,发布部门：商务部｜公告：2025年第1号公告
赛峰美国公司,赛峰美国公司,Safran USA Inc.,entity,出口管制管控名单,Export control list,美国,United States,2025-01-02,发布部门：商务部｜公告：2025年第1号公告
柯林斯航空航天公司,柯林斯航空航天公司,Collins Aerospace,entity,出口管制管控名单,Export control list,美国,United States,2025-01-02,发布部门：商务部｜公告：2025年第1号公告
德事隆系统公司,德事隆系统公司,Textron Systems,entity,出口管制管控名单,Export control list,美国,United States,2025-01-02,发布部门：商务部｜公告：2025年第1号公告
亨廷顿·英格尔斯工业公司,亨廷顿·英格尔斯工业公司,Huntington Ingalls Industries,entity,出口管制管控名单,Export control list,美国,United States,2025-01-02,发布部门：商务部｜公告：2025年第1号公告
奥什科什防务公司,奥什科什防务公司,Oshkosh Defense,entity,出口管制管控名单,Export control list,美国,United States,2025-01-02,发布部门：商务部｜公告：2025年第1号公告
莱昂纳多DRS公司,莱昂纳多DRS公司,Leonardo DRS,entity,出口管制管控名单,Export control list,美国,United States,2025-01-02,发布部门：商务部｜公告：2025年第1号公告
埃尔比特系统美国公司,埃尔比特系统美国公司,Elbit Systems of America,entity,出口管制管控名单,Export control list,美国,United States,2025-01-02,发布部门：商务部｜公告：2025年第1号公告
拉斐尔先进防务系统美国公司,拉斐尔先进防务系统美国公司,Rafael Advanced Defense Systems USA,entity,出口管制管控名单,Export control list,美国,United States,2025-01-02,发布部门：商务部｜公告：2025年第1号公告
以色列航空工业美国公司,以色列航空工业美国公司,Israel Aerospace Industries USA,entity,出口管制管控名单,Export control list,美国,United States,2025-01-02,发布部门：商务部｜公告：2025年第1号公告
克拉夫特·海因茨防务公司,克拉夫特·海因茨防务公司,Kraft Heinz Defense,entity,出口管制管控名单,Export control list,美国,United States,2025-01-02,发布部门：商务部｜公告：2025年第1号公告
珀金埃尔默防务公司,珀金埃尔默防务公司,PerkinElmer Defense,entity,出口管制管控名单,Export control list,美国,United States,2025-01-02,发布部门：商务部｜公告：2025年第1号公告
安费诺防务公司,安费诺防务公司,Amphenol Defense,entity,出口管制管控名单,Export control list,美国,United States,2025-01-02,发布部门：商务部｜公告：2025年第1号公告
TE Connectivity防务公司,TE Connectivity防务公司,TE Connectivity Defense,entity,出口管制管控名单,Export control list,美国,United States,2025-01-02,发布部门：商务部｜公告：2025年第1号公告
莫仕防务公司,莫仕防务公司,Molex Defense,entity,出口管制管控名单,Export control list,美国,United States,2025-01-02,发布部门：商务部｜公告：2025年第1号公告
史密斯星际防务公司,史密斯星际防务公司,Smiths Interconnect Defense,entity,出口管制管控名单,Export control list,美国,United States,2025-01-02,发布部门：商务部｜公告：2025年第1号公告
格伦航空防务公司,格伦航空防务公司,Glenair Defense,entity,出口管制管控名单,Export control list,美国,United States,2025-01-02,发布部门：商务部｜公告：2025年第1号公告
Souriau-Sunbank防务公司,Souriau-Sunbank防务公司,Souriau-Sunbank Defense,entity,出口管制管控名单,Export control list,美国,United States,2025-01-02,发布部门：商务部｜公告：2025年第1号公告
ITT防务公司,ITT防务公司,ITT Defense,entity,出口管制管控名单,Export control list,美国,United States,2025-01-02,发布部门：商务部｜公告：2025年第1号公告
Curtiss-Wright防务公司,Curtiss-Wright防务公司,Curtiss-Wright Defense,entity,出口管制管控名单,Export control list,美国,United States,2025-01-02,发布部门：商务部｜公告：2025年第1号公告
Moog防务公司,Moog防务公司,Moog Defense,entity,出口管制管控名单,Export control list,美国,United States,2025-01-02,发布部门：商务部｜公告：2025年第1号公告
莱多斯公司,莱多斯公司,"Leidos, Inc.",entity,出口管制管控名单,Export control list,美国,United States,2025-03-04,发布部门：商务部｜公告：2025年第13号公告
吉布斯和考克斯公司,吉布斯和考克斯公司,"Gibbs & Cox, Inc.",entity,出口管制管控名单,Export control list,美国,United States,2025-03-04,发布部门：商务部｜公告：2025年第13号公告
监控研究公司,监控研究公司,Surveillance Research Corporation,entity,出口管制管控名单,Export control list,美国,United States,2025-03-04,发布部门：商务部｜公告：2025年第13号公告
战略与国际问题研究中心,战略与国际问题研究中心,Center for Strategic and International Studies,entity,出口管制管控名单,Export control list,美国,United States,2025-03-04,发布部门：商务部｜公告：2025年第13号公告
大西洋理事会,大西洋理事会,Atlantic Council,entity,出口管制管控名单,Export control list,美国,United States,2025-03-04,发布部门：商务部｜公告：2025年第13号公告
传统基金会,传统基金会,The Heritage Foundation,entity,出口管制管控名单,Export control list,美国,United States,2025-03-04,发布部门：商务部｜公告：2025年第13号公告
哈德逊研究所,哈德逊研究所,Hudson Institute,entity,出口管制管控名单,Export control list,美国,United States,2025-03-04,发布部门：商务部｜公告：2025年第13号公告
兰德公司,兰德公司,RAND Corporation,entity,出口管制管控名单,Export control list,美国,United States,2025-03-04,发布部门：商务部｜公告：2025年第13号公告
米切尔航空航天研究所,米切尔航空航天研究所,Mitchell Institute for Aerospace Studies,entity,出口管制管控名单,Export control list,美国,United States,2025-03-04,发布部门：商务部｜公告：2025年第13号公告
国防优先事项组织,国防优先事项组织,Defense Priorities,entity,出口管制管控名单,Export control list,美国,United States,2025-03-04,发布部门：商务部｜公告：2025年第13号公告
安全政策中心,安全政策中心,Center for Security Policy,entity,出口管制管控名单,Export control list,美国,United States,2025-03-04,发布部门：商务部｜公告：2025年第13号公告
国家利益中心,国家利益中心,Center for the National Interest,entity,出口管制管控名单,Export control list,美国,United States,2025-03-04,发布部门：商务部｜公告：2025年第13号公告
美国企业研究所,美国企业研究所,American Enterprise Institute,entity,出口管制管控名单,Export control list,美国,United States,2025-03-04,发布部门：商务部｜公告：2025年第13号公告
卡托研究所,卡托研究所,Cato Institute,entity,出口管制管控名单,Export control list,美国,United States,2025-03-04,发布部门：商务部｜公告：2025年第13号公告
布鲁金斯学会,布鲁金斯学会,Brookings Institution,entity,出口管制管控名单,Export control list,美国,United States,2025-03-04,发布部门：商务部｜公告：2025年第13号公告
美国光子公司,美国光子公司,Photonics America LLC,entity,出口管制管控名单,Export control list,美国,United States,2025-04-09,发布部门：商务部｜公告：2025年第18号公告
光谱物理公司,光谱物理公司,"Spectra-Physics, Inc.",entity,出口管制管控名单,Export control list,美国,United States,2025-04-09,发布部门：商务部｜公告：2025年第18号公告
相干公司,相干公司,Coherent Corp.,entity,出口管制管控名单,Export control list,美国,United States,2025-04-09,发布部门：商务部｜公告：2025年第18号公告
II-VI公司,II-VI公司,II-VI Incorporated,entity,出口管制管控名单,Export control list,美国,United States,2025-04-09,发布部门：商务部｜公告：2025年第18号公告
鲁门特姆公司,鲁门特姆公司,Lumentum Holdings Inc.,entity,出口管制管控名单,Export control list,美国,United States,2025-04-09,发布部门：商务部｜公告：2025年第18号公告
菲尼萨公司,菲尼萨公司,Finisar Corporation,entity,出口管制管控名单,Export control list,美国,United States,2025-04-09,发布部门：商务部｜公告：2025年第18号公告
奥兰治光子学公司,奥兰治光子学公司,"Orange Photonics, Inc.",entity,出口管制管控名单,Export control list,美国,United States,2025-04-09,发布部门：商务部｜公告：2025年第18号公告
索尔实验室公司,索尔实验室公司,"Thorlabs, Inc.",entity,出口管制管控名单,Export control list,美国,United States,2025-04-09,发布部门：商务部｜公告：2025年第18号公告
纽波特公司,纽波特公司,Newport Corporation,entity,出口管制管控名单,Export control list,美国,United States,2025-04-09,发布部门：商务部｜公告：2025年第18号公告
MKS仪器公司,MKS仪器公司,"MKS Instruments, Inc.",entity,出口管制管控名单,Export control list,美国,United States,2025-04-09,发布部门：商务部｜公告：2025年第18号公告
爱特蒙特光学公司,爱特蒙特光学公司,Edmund Optics Inc.,entity,出口管制管控名单,Export control list,美国,United States,2025-04-09,发布部门：商务部｜公告：2025年第18号公告
滨松光子美国公司,滨松光子美国公司,Hamamatsu Photonics K.K. (USA),entity,出口管制管控名单,Export control list,美国,United States,2025-04-09,发布部门：商务部｜公告：2025年第18号公告
汉翔航空工业股份有限公司,汉翔航空工业股份有限公司,Aerospace Industrial Development Corporation,entity,出口管制管控名单,Export control list,中国台湾,"Taiwan, China",2025-07-09,发布部门：商务部｜公告：2025年第28号公告
中山科学研究院,中山科学研究院,Chung-Shan Institute of Science and Technology,entity,出口管制管控名单,Export control list,中国台湾,"Taiwan, China",2025-07-09,发布部门：商务部｜公告：2025年第28号公告
国家中山科学研究院,国家中山科学研究院,National Chung-Shan Institute of Science and Technology,entity,出口管制管控名单,Export control list,中国台湾,"Taiwan, China",2025-07-09,发布部门：商务部｜公告：2025年第28号公告
台湾国际造船股份有限公司,台湾国际造船股份有限公司,"CSBC Corporation, Taiwan",entity,出口管制管控名单,Export control list,中国台湾,"Taiwan, China",2025-07-09,发布部门：商务部｜公告：2025年第28号公告
中信造船股份有限公司,中信造船股份有限公司,"CSBC Shipbuilding Co., Ltd.",entity,出口管制管控名单,Export control list,中国台湾,"Taiwan, China",2025-07-09,发布部门：商务部｜公告：2025年第28号公告
龙德造船工业股份有限公司,龙德造船工业股份有限公司,"Lung Teh Shipbuilding Co., Ltd.",entity,出口管制管控名单,Export control list,中国台湾,"Taiwan, China",2025-07-09,发布部门：商务部｜公告：2025年第28号公告
联合船舶设计发展中心,联合船舶设计发展中心,United Ship Design and Development Center,entity,出口管制管控名单,Export control list,中国台湾,"Taiwan, China",2025-07-09,发布部门：商务部｜公告：2025年第28号公告
台湾机械股份有限公司,台湾机械股份有限公司,Taiwan Machinery Corporation,entity,出口管制管控名单,Export control list,中国台湾,"Taiwan, China",2025-07-09,发布部门：商务部｜公告：2025年第28号公告
三菱造船株式会社,三菱造船株式会社,"Mitsubishi Shipbuilding Co., Ltd.",entity,出口管制管控名单,Export control list,日本,Japan,2026-02-24,发布部门：商务部｜公告：2026年第11号公告
三菱重工海事系统株式会社,三菱重工海事系统株式会社,Mitsubishi Heavy Industries Maritime Systems,entity,出口管制管控名单,Export control list,日本,Japan,2026-02-24,发布部门：商务部｜公告：2026年第11号公告
川崎重工船舶海洋公司,川崎重工船舶海洋公司,Kawasaki Heavy Industries Ship & Ocean,entity,出口管制管控名单,Export control list,日本,Japan,2026-02-24,发布部门：商务部｜公告：2026年第11号公告
IHI原动机株式会社,IHI原动机株式会社,"IHI Power Systems Co., Ltd.",entity,出口管制管控名单,Export control list,日本,Japan,2026-02-24,发布部门：商务部｜公告：2026年第11号公告
IHI动力系统株式会社,IHI动力系统株式会社,IHI Transport Machinery,entity,出口管制管控名单,Export control list,日本,Japan,2026-02-24,发布部门：商务部｜公告：2026年第11号公告
日本制钢所株式会社,日本制钢所株式会社,"The Japan Steel Works, Ltd.",entity,出口管制管控名单,Export control list,日本,Japan,2026-02-24,发布部门：商务部｜公告：2026年第11号公告
富士通防卫与国家安全株式会社,富士通防卫与国家安全株式会社,Fujitsu Defense & National Security,entity,出口管制管控名单,Export control list,日本,Japan,2026-02-24,发布部门：商务部｜公告：2026年第11号公告
NEC网络传感器株式会社,NEC网络传感器株式会社,NEC Network & Sensor Systems,entity,出口管制管控名单,Export control list,日本,Japan,2026-02-24,发布部门：商务部｜公告：2026年第11号公告
日本电气航空宇宙系统株式会社,日本电气航空宇宙系统株式会社,NEC Aerospace Systems,entity,出口管制管控名单,Export control list,日本,Japan,2026-02-24,发布部门：商务部｜公告：2026年第11号公告
日本海洋联合株式会社,日本海洋联合株式会社,Japan Marine United Corporation,entity,出口管制管控名单,Export control list,日本,Japan,2026-02-24,发布部门：商务部｜公告：2026年第11号公告
三井E&S造船株式会社,三井E&S造船株式会社,"Mitsui E&S Shipbuilding Co., Ltd.",entity,出口管制管控名单,Export control list,日本,Japan,2026-02-24,发布部门：商务部｜公告：2026年第11号公告
常石造船株式会社,常石造船株式会社,"Tsuneishi Shipbuilding Co., Ltd.",entity,出口管制管控名单,Export control list,日本,Japan,2026-02-24,发布部门：商务部｜公告：2026年第11号公告
名村造船所株式会社,名村造船所株式会社,"Namura Shipbuilding Co., Ltd.",entity,出口管制管控名单,Export control list,日本,Japan,2026-02-24,发布部门：商务部｜公告：2026年第11号公告
佐世保重工业株式会社,佐世保重工业株式会社,"Sasebo Heavy Industries Co., Ltd.",entity,出口管制管控名单,Export control list,日本,Japan,2026-02-24,发布部门：商务部｜公告：2026年第11号公告
新来岛船坞株式会社,新来岛船坞株式会社,"Shin Kurushima Dockyard Co., Ltd.",entity,出口管制管控名单,Export control list,日本,Japan,2026-02-24,发布部门：商务部｜公告：2026年第11号公告
旭洋造船株式会社,旭洋造船株式会社,Kyokuyo Shipbuilding Corporation,entity,出口管制管控名单,Export control list,日本,Japan,2026-02-24,发布部门：商务部｜公告：2026年第11号公告
本田重工业株式会社,本田重工业株式会社,"Honda Heavy Industries Co., Ltd.",entity,出口管制管控名单,Export control list,日本,Japan,2026-02-24,发布部门：商务部｜公告：2026年第11号公告
四国造船株式会社,四国造船株式会社,"Shikoku Shipbuilding Co., Ltd.",entity,出口管制管控名单,Export control list,日本,Japan,2026-02-24,发布部门：商务部｜公告：2026年第11号公告
函馆船坞株式会社,函馆船坞株式会社,"Hakodate Dock Co., Ltd.",entity,出口管制管控名单,Export control list,日本,Japan,2026-02-24,发布部门：商务部｜公告：2026年第11号公告
尾道造船株式会社,尾道造船株式会社,"Onomichi Shipbuilding Co., Ltd.",entity,出口管制管控名单,Export control list,日本,Japan,2026-02-24,发布部门：商务部｜公告：2026年第11号公告
赫斯塔尔公司,赫斯塔尔公司,FN Herstal S.A.,entity,出口管制管控名单,Export control list,比利时,Belgium,2026-04-24,发布部门：商务部｜公告：2026年第20号公告
约翰·科克里尔公司,约翰·科克里尔公司,John Cockerill S.A.,entity,出口管制管控名单,Export control list,比利时,Belgium,2026-04-24,发布部门：商务部｜公告：2026年第20号公告
奈克斯特系统公司,奈克斯特系统公司,Nexter Systems S.A.S.,entity,出口管制管控名单,Export control list,法国,France,2026-04-24,发布部门：商务部｜公告：2026年第20号公告
泰雷兹比利时公司,泰雷兹比利时公司,Thales Belgium S.A.,entity,出口管制管控名单,Export control list,比利时,Belgium,2026-04-24,发布部门：商务部｜公告：2026年第20号公告
萨博博福斯动力公司,萨博博福斯动力公司,Saab Bofors Dynamics AB,entity,出口管制管控名单,Export control list,瑞典,Sweden,2026-04-24,发布部门：商务部｜公告：2026年第20号公告
莱茵金属防务电子公司,莱茵金属防务电子公司,Rheinmetall Defence Electronics GmbH,entity,出口管制管控名单,Export control list,德国,Germany,2026-04-24,发布部门：商务部｜公告：2026年第20号公告
迪尔防务公司,迪尔防务公司,Diehl Defence GmbH & Co. KG,entity,出口管制管控名单,Export control list,德国,Germany,2026-04-24,发布部门：商务部｜公告：2026年第20号公告
艾维奥克斯公司,艾维奥克斯公司,"Avioxx Technologies, Inc.",entity,出口管制管控名单,Export control list,美国,United States,2026-06-22,发布部门：商务部｜公告：2026年第35号公告
红猫控股公司,红猫控股公司,"Red Cat Holdings, Inc.",entity,出口管制管控名单,Export control list,美国,United States,2026-06-22,发布部门：商务部｜公告：2026年第35号公告
安杜里尔工业公司,安杜里尔工业公司,"Anduril Industries, Inc.",entity,出口管制管控名单,Export control list,美国,United States,2026-06-22,发布部门：商务部｜公告：2026年第35号公告
盾牌人工智能公司,盾牌人工智能公司,"Shield AI, Inc.",entity,出口管制管控名单,Export control list,美国,United States,2026-06-22,发布部门：商务部｜公告：2026年第35号公告
幽灵机器人公司,幽灵机器人公司,Ghost Robotics LLC,entity,出口管制管控名单,Export control list,美国,United States,2026-06-22,发布部门：商务部｜公告：2026年第35号公告
自主解决方案公司,自主解决方案公司,"Autonomous Solutions, Inc.",entity,出口管制管控名单,Export control list,美国,United States,2026-06-22,发布部门：商务部｜公告：2026年第35号公告
天空dio公司,天空dio公司,"Skydio, Inc.",entity,出口管制管控名单,Export control list,美国,United States,2026-06-22,发布部门：商务部｜公告：2026年第35号公告
德拉根弗莱公司,德拉根弗莱公司,Dragoneye Technologies LLC,entity,出口管制管控名单,Export control list,美国,United States,2026-06-22,发布部门：商务部｜公告：2026年第35号公告
战术机器人公司,战术机器人公司,Tactical Robotics Inc.,entity,出口管制管控名单,Export control list,美国,United States,2026-06-22,发布部门：商务部｜公告：2026年第35号公告
格里芬航空航天公司,格里芬航空航天公司,Griffin Aerospace Inc.,entity,出口管制管控名单,Export control list,美国,United States,2026-06-22,发布部门：商务部｜公告：2026年第35号公告
斯巴鲁株式会社,斯巴鲁株式会社,Subaru Corporation,entity,出口管制管控名单,Export control list,日本,Japan,2026-06-29,发布部门：商务部｜公告：2026年第40号公告
东芝能源系统株式会社,东芝能源系统株式会社,Toshiba Energy Systems & Solutions,entity,出口管制管控名单,Export control list,日本,Japan,2026-06-29,发布部门：商务部｜公告：2026年第40号公告
日立造船株式会社,日立造船株式会社,Hitachi Zosen Corporation,entity,出口管制管控名单,Export control list,日本,Japan,2026-06-29,发布部门：商务部｜公告：2026年第40号公告
住友重机械工业株式会社,住友重机械工业株式会社,Sumitomo Heavy Industries,entity,出口管制管控名单,Export control list,日本,Japan,2026-06-29,发布部门：商务部｜公告：2026年第40号公告
神户制钢所株式会社,神户制钢所株式会社,"Kobe Steel, Ltd.",entity,出口管制管控名单,Export control list,日本,Japan,2026-06-29,发布部门：商务部｜公告：2026年第40号公告
日本发条株式会社,日本发条株式会社,"NHK Spring Co., Ltd.",entity,出口管制管控名单,Export control list,日本,Japan,2026-06-29,发布部门：商务部｜公告：2026年第40号公告
东京计器株式会社,东京计器株式会社,Tokyo Keiki Inc.,entity,出口管制管控名单,Export control list,日本,Japan,2026-06-29,发布部门：商务部｜公告：2026年第40号公告
横河电机株式会社,横河电机株式会社,Yokogawa Electric Corporation,entity,出口管制管控名单,Export control list,日本,Japan,2026-06-29,发布部门：商务部｜公告：2026年第40号公告
小松制作所株式会社,小松制作所株式会社,Komatsu Ltd.,entity,出口管制管控名单,Export control list,日本,Japan,2026-06-29,发布部门：商务部｜公告：2026年第40号公告
古河电气工业株式会社,古河电气工业株式会社,"Furukawa Electric Co., Ltd.",entity,出口管制管控名单,Export control list,日本,Japan,2026-06-29,发布部门：商务部｜公告：2026年第40号公告
藤仓株式会社,藤仓株式会社,Fujikura Ltd.,entity,出口管制管控名单,Export control list,日本,Japan,2026-06-29,发布部门：商务部｜公告：2026年第40号公告
昭和电工株式会社,昭和电工株式会社,Showa Denko K.K.,entity,出口管制管控名单,Export control list,日本,Japan,2026-06-29,发布部门：商务部｜公告：2026年第40号公告
日本特殊陶业株式会社,日本特殊陶业株式会社,"NGK Insulators, Ltd.",entity,出口管制管控名单,Export control list,日本,Japan,2026-06-29,发布部门：商务部｜公告：2026年第40号公告
京瓷株式会社,京瓷株式会社,Kyocera Corporation,entity,出口管制管控名单,Export control list,日本,Japan,2026-06-29,发布部门：商务部｜公告：2026年第40号公告
TDK株式会社,TDK株式会社,TDK Corporation,entity,出口管制管控名单,Export control list,日本,Japan,2026-06-29,发布部门：商务部｜公告：2026年第40号公告
村田制作所株式会社,村田制作所株式会社,"Murata Manufacturing Co., Ltd.",entity,出口管制管控名单,Export control list,日本,Japan,2026-06-29,发布部门：商务部｜公告：2026年第40号公告
日东电工株式会社,日东电工株式会社,Nitto Denko Corporation,entity,出口管制管控名单,Export control list,日本,Japan,2026-06-29,发布部门：商务部｜公告：2026年第40号公告
信越化学工业株式会社,信越化学工业株式会社,"Shin-Etsu Chemical Co., Ltd.",entity,出口管制管控名单,Export control list,日本,Japan,2026-06-29,发布部门：商务部｜公告：2026年第40号公告
JSR株式会社,JSR株式会社,JSR Corporation,entity,出口管制管控名单,Export control list,日本,Japan,2026-06-29,发布部门：商务部｜公告：2026年第40号公告
东京应化工业株式会社,东京应化工业株式会社,"Tokyo Ohka Kogyo Co., Ltd.",entity,出口管制管控名单,Export control list,日本,Japan,2026-06-29,发布部门：商务部｜公告：2026年第40号公告
英斯图公司,英斯图公司,"Insitu, Inc.",entity,反外国制裁反制清单,Anti-foreign-sanctions countermeasure list,美国,United States,2024-12-27,发布部门：外交部/财政部｜公告：外交部令第16号
哈德森技术公司,哈德森技术公司,"Hudson Technologies, Inc.",entity,反外国制裁反制清单,Anti-foreign-sanctions countermeasure list,美国,United States,2024-12-27,发布部门：外交部/财政部｜公告：外交部令第16号
