name,name_zh,name_en,type,programs,programs_en,country,country_en,listed_on,remarks,local_name,aliases,address,registration_number,website
JSC Sirius,,JSC Sirius,entity,出口管制·军工实体(Annex IV),Export control · military end-user (Annex IV),俄罗斯,Russia,2014-09-12,"Local name: Открытое Акционерное Общество «Концерн «Сириус» (ОАО «Концерн «Сириус»)；A.k.a: JSC Concern Sirius; Kontsern Sirius ｜ Address(es): 119435, Moscow, Pirogovskaya M. Str., 18, Building 1, Russian Federation Telephone: + 7 (495) 926-78-9; + 7 (495) 772-42-82; + 7 (926) 998-67-10 Website: www.",Открытое Акционерное Общество «Концерн «Сириус» (ОАО «Концерн «Сириус»),JSC Concern Sirius; Kontsern Sirius,"119435, Moscow, Pirogovskaya M. Str., 18, Building 1, Russian Federation",,
OJSC Stankoinstrument,,OJSC Stankoinstrument,entity,出口管制·军工实体(Annex IV),Export control · military end-user (Annex IV),俄罗斯,Russia,2014-09-12,"Local name: Акционерное Общество «РТ-Станкоинструмент» (АО «РТ-Станкоинструмент»)；A.k.a: Joint Stock Company ""RT-Stankoinstrument"" ｜ Address(es): 107996, Moscow, Gilyarovskogo Str., 65, Building 1, Russian Federation Telephone: + 7 (495) 681-16-18, 681-10-39 Website: http://www.rt-stanko.ru Email: i",Акционерное Общество «РТ-Станкоинструмент» (АО «РТ-Станкоинструмент»),"Joint Stock Company ""RT-Stankoinstrument""","107996, Moscow, Gilyarovskogo Str., 65, Building 1, Russian Federation",,http://www.rt-stanko.ru
OAO JSC Chemcomposite,,OAO JSC Chemcomposite,entity,出口管制·军工实体(Annex IV),Export control · military end-user (Annex IV),俄罗斯,Russia,2014-09-12,"Local name: Акционерное Общество «РТ-Химические технологии и композиционные материалы» (АО «РТ-Химкомпозит»)；A.k.a: OJSC Khimkompozit; RT-Chemical Technologies and Composite Materials ｜ Address(es): 117218, Moscow, Krzhiszhanovskogo Str., 29, Room 6, Russian Federation; 119435, Bolshoy Savvinskiy La",Акционерное Общество «РТ-Химические технологии и композиционные материалы» (АО «РТ-Химкомпозит»),OJSC Khimkompozit; RT-Chemical Technologies and Composite Materials,"117218, Moscow, Krzhiszhanovskogo Str., 29, Room 6, Russian Federation; 119435, Bolshoy Savvinskiy La",,
JSC Kalashnikov,,JSC Kalashnikov,entity,出口管制·军工实体(Annex IV),Export control · military end-user (Annex IV),俄罗斯,Russia,2014-09-12,"Local name: Акционерное Общество «Концерн «Калашников» (АО «Концерн «Калашников»)；A.k.a: JSC Concern Kalashnikov; Izhevskiy Mashinostroitel'nyi Zavod; NPO Izhmash ｜ Address(es): 426006, Udmurt Republic, Izhevsk, Deryabina Avenue, 2/193, Room 78, Russian Federation Telephone: 8-800-200-1807 Website: ",Акционерное Общество «Концерн «Калашников» (АО «Концерн «Калашников»),JSC Concern Kalashnikov; Izhevskiy Mashinostroitel'nyi Zavod; NPO Izhmash,"426006, Udmurt Republic, Izhevsk, Deryabina Avenue, 2/193, Room 78, Russian Federation",,
JSC Tula Arms Plant,,JSC Tula Arms Plant,entity,出口管制·军工实体(Annex IV),Export control · military end-user (Annex IV),俄罗斯,Russia,2014-09-12,"Local name: Публичное Акционерное Общество «Императорский Тульский Оружейный Завод» (ПАО «Императорский Тульский Оружейный Завод»)；A.k.a: PJSC Imperial Tula Arms Plant; Public Joint Stock Company ""Imperatorsky Tulsky Oruzheiny Zavod"" ｜ Address(es): 300041, Tula Oblast, Tula, Sovetskaya Str., 1A, Rus",Публичное Акционерное Общество «Императорский Тульский Оружейный Завод» (ПАО «Императорский Тульский Оружейный Завод»),"PJSC Imperial Tula Arms Plant; Public Joint Stock Company ""Imperatorsky Tulsky Oruzheiny Zavod""","300041, Tula Oblast, Tula, Sovetskaya Str., 1A, Rus",,
NPK Technologii Maschinostrojenija,,NPK Technologii Maschinostrojenija,entity,出口管制·军工实体(Annex IV),Export control · military end-user (Annex IV),俄罗斯,Russia,2014-09-12,"Local name: Акционерное Общество «Научно-Производственный Концерн «Технологии Машиностроения» (АО «НПК «Техмаш»)；A.k.a: NPK Engineering Technology; Tecmash Concern; Kontsern ""Tecmash"" JSC Research and Production Concern Machine Building Technologies; JSC ""Scientific-Production Concern ""Mechanical En",Акционерное Общество «Научно-Производственный Концерн «Технологии Машиностроения» (АО «НПК «Техмаш»),"NPK Engineering Technology; Tecmash Concern; Kontsern ""Tecmash"" JSC Research and Production Concern Machine Building Technologies; JSC ""Scientific-Production Concern ""Mechanical En",,,
OAO Wysokototschnye Kompleksi,,OAO Wysokototschnye Kompleksi,entity,出口管制·军工实体(Annex IV),Export control · military end-user (Annex IV),俄罗斯,Russia,2014-09-12,"Local name: Акционерное Общество «НПО «Высокоточные Комплексы» (АО «НПО «Высокоточные Комплексы»)；A.k.a: JSC NPO ""High-precision complexes""; High Precision Systems; NPO Vysokotochnye Kompleksy AO ｜ Address(es): 119019, Moscow, Gogolevsky Boulevard, 21, Building 1, Russian Federation; 121059, Moscow,",Акционерное Общество «НПО «Высокоточные Комплексы» (АО «НПО «Высокоточные Комплексы»),"JSC NPO ""High-precision complexes""; High Precision Systems; NPO Vysokotochnye Kompleksy AO","119019, Moscow, Gogolevsky Boulevard, 21, Building 1, Russian Federation; 121059, Moscow",,
OAO Almaz Antey,,OAO Almaz Antey,entity,出口管制·军工实体(Annex IV),Export control · military end-user (Annex IV),俄罗斯,Russia,2014-09-12,"Local name: Акционерное Общество «Концерн Воздушно-Космической Обороны «Алмаз - Антей» (АО «Концерн ВКО «Алмаз - Антей»)；A.k.a: JSC Concern VKO ""Almaz-Antey""; Almaz-Antey Corporation; ""Almaz – Antey"" Air and Space Defence Corporation"", Joint Stock Company ｜ Address(es): 121471, Moscow, Vereyskaya St",Акционерное Общество «Концерн Воздушно-Космической Обороны «Алмаз - Антей» (АО «Концерн ВКО «Алмаз - Антей»),"JSC Concern VKO ""Almaz-Antey""; Almaz-Antey Corporation; ""Almaz – Antey"" Air and Space Defence Corporation"", Joint Stock Company","121471, Moscow, Vereyskaya St",,
OAO NPO Bazalt,,OAO NPO Bazalt,entity,出口管制·军工实体(Annex IV),Export control · military end-user (Annex IV),俄罗斯,Russia,2014-09-12,"Local name: Акционерное Общество ‘Научно-Производственное Объединение ‘Базальт'"" (АО ""НПО ‘Базальт'"")；A.k.a: JSC ""Scientific and Production Association ‘Basalt'""; Joint Stock Company ""Research and Production Association ‘BAZALT'"" ｜ Address(es): 105318, Moscow, Velyaminovskaya Str. 32, Russian Federa","Акционерное Общество ‘Научно-Производственное Объединение ‘Базальт'"" (АО ""НПО ‘Базальт'"")","JSC ""Scientific and Production Association ‘Basalt'""; Joint Stock Company ""Research and Production Association ‘BAZALT'""","105318, Moscow, Velyaminovskaya Str. 32, Russian Federa",,
Admiralty Shipyard JSC,,Admiralty Shipyard JSC,entity,出口管制·军工实体(Annex IV),Export control · military end-user (Annex IV),俄罗斯,Russia,2022-02-25,"Local name: Акционерное Общество «Адмиралтейские Верфи» (АО «Адмиралтейские Верфи»)；A.k.a: JSC Admiralteyskiye Verfi; Soviet Shipyard No. 194 ｜ Address(es): 190121, St. Petersburg, Fontanka River Embankment, 203, Russian Federation Telephone: + 7 (812) 714-88-33 Website: http://admship.ru/ Email: in",Акционерное Общество «Адмиралтейские Верфи» (АО «Адмиралтейские Верфи»),JSC Admiralteyskiye Verfi; Soviet Shipyard No. 194,"190121, St. Petersburg, Fontanka River Embankment, 203, Russian Federation",,http://admship.ru/
Aleksandrov Scientific Research Technological Institute NITI,,Aleksandrov Scientific Research Technological Institute NITI,entity,出口管制·军工实体(Annex IV),Export control · military end-user (Annex IV),俄罗斯,Russia,2022-02-25,"Local name: Федеральное Государственное Унитарное Предприятие «Научно-Исследовательский Технологический Институт имени А.П. Александрова» (ФГУП «НИТИ им. А.П. Александрова»)；A.k.a: Federal State unitary Enterprise Alexandrov Research Institute of Technology; FGUP ""A.P. Aleksandrov NITI""; FSUE Alexan",Федеральное Государственное Унитарное Предприятие «Научно-Исследовательский Технологический Институт имени А.П. Александрова» (ФГУП «НИТИ им. А.П. Александрова»),"Federal State unitary Enterprise Alexandrov Research Institute of Technology; FGUP ""A.P. Aleksandrov NITI""; FSUE Alexan",,,
Argut OOO,,Argut OOO,entity,出口管制·军工实体(Annex IV),Export control · military end-user (Annex IV),俄罗斯,Russia,2022-02-25,"Local name: Общество с Ограниченной Ответственностью «Аргут» (ООО «Аргут»)；A.k.a: Argut LLC ｜ Address(es): 127287, Moscow, Khutorskaya Str., 2, 38A, Building 1, Russian Federation; 123007, Moscow, Mnyovniki Str., 6, Floor 3, Premises II, Room 13, Russian Federation; 123007,",Общество с Ограниченной Ответственностью «Аргут» (ООО «Аргут»),Argut LLC,"127287, Moscow, Khutorskaya Str., 2, 38A, Building 1, Russian Federation; 123007, Moscow, Mnyovniki Str., 6, Floor 3, Premises II, Room 13, Russian Federation; 123007",,
Communication Center of the Ministry of Defense,,Communication Center of the Ministry of Defense,entity,出口管制·军工实体(Annex IV),Export control · military end-user (Annex IV),俄罗斯,Russia,2022-02-25,"Local name: Департамент информации и массовых коммуникаций Министерства обороны Российской Федерации；A.k.a: Department of Information and Mass Communications of the Ministry of Defence of the Russian Federation ｜ Address(es): 119019, Moscow, Khamovniki, Bolshoi Znamensky Pereulok, 21, Russian Federa",Департамент информации и массовых коммуникаций Министерства обороны Российской Федерации,Department of Information and Mass Communications of the Ministry of Defence of the Russian Federation,"119019, Moscow, Khamovniki, Bolshoi Znamensky Pereulok, 21, Russian Federa",,
Federal Research Center Boreskov Institute of Catalysis,,Federal Research Center Boreskov Institute of Catalysis,entity,出口管制·军工实体(Annex IV),Export control · military end-user (Annex IV),俄罗斯,Russia,2022-02-25,"Local name: Федеральное Государственное Бюджетное Учреждение Науки «Федеральный Исследовательский Центр «Институт Катализа им. Г.К. Борескова Сибирского Отделения Российской Академии Наук» (ИК СО РАН, Институт Катализа СО РАН)；A.k.a: Institute of Catalysis named after G. K. Boreskov SB RAS; IR SB RA","Федеральное Государственное Бюджетное Учреждение Науки «Федеральный Исследовательский Центр «Институт Катализа им. Г.К. Борескова Сибирского Отделения Российской Академии Наук» (ИК СО РАН, Институт Катализа СО РАН)",Institute of Catalysis named after G. K. Boreskov SB RAS; IR SB RA,,,
Federal State Budgetary Enterprise of the Administration of the President of Russia,,Federal State Budgetary Enterprise of the Administration of the President of Russia,entity,出口管制·军工实体(Annex IV),Export control · military end-user (Annex IV),俄罗斯,Russia,2022-02-25,"Local name: Управление делами Президента Российской Федерации；A.k.a: Administration of the President of the Russian Federation; The Administrative Directorate of the President of the Russian Federation ｜ Address(es): 103132, Moscow, Nikitnikov Pereulok, 2, Building 5, Russian Federation Telephone: +",Управление делами Президента Российской Федерации,Administration of the President of the Russian Federation; The Administrative Directorate of the President of the Russian Federation,"103132, Moscow, Nikitnikov Pereulok, 2, Building 5, Russian Federation",,
Federal State Budgetary Enterprise Special Flight Unit Rossiya of the Administration of the President of Russia,,Federal State Budgetary Enterprise Special Flight Unit Rossiya of the Administration of the President of Russia,entity,出口管制·军工实体(Annex IV),Export control · military end-user (Annex IV),俄罗斯,Russia,2022-02-25,"Local name: Федеральное Государственное Бюджетное Учреждение «Специальный Летный Отряд «Россия» Управления Делами Президента Российской Федерации (ФГБУ «СЛО «Россия»)；A.k.a: Federal State Budgetary Institution ""Special Flight Detachment ""Russia""; FGBU SLO Rossya; Federal State Budgetary Institution ",Федеральное Государственное Бюджетное Учреждение «Специальный Летный Отряд «Россия» Управления Делами Президента Российской Федерации (ФГБУ «СЛО «Россия»),"Federal State Budgetary Institution ""Special Flight Detachment ""Russia""; FGBU SLO Rossya; Federal State Budgetary Institution",,,
Federal State Unitary Enterprise Dukhov Automatics Research Institute (VNIIA),Federal State Unitary Enterprise Dukhov Automatics Research Institute,VNIIA,entity,出口管制·军工实体(Annex IV),Export control · military end-user (Annex IV),俄罗斯,Russia,2022-02-25,"Local name: Федеральное Государственное Унитарное Предприятие «Всероссийский Научно-Исследовательский Институт Автоматики им. Н.Л. Духова» (ФГУП «ВНИИА»)；A.k.a: Federal State Unitary Enterprise ""All-Russian Research Institute of Automation named after N.L. Dukhov""; FSUE ""VNIIA"" ｜ Address(es): 127030",Федеральное Государственное Унитарное Предприятие «Всероссийский Научно-Исследовательский Институт Автоматики им. Н.Л. Духова» (ФГУП «ВНИИА»),"Federal State Unitary Enterprise ""All-Russian Research Institute of Automation named after N.L. Dukhov""; FSUE ""VNIIA""",127030,,
Foreign Intelligence Service (SVR),Foreign Intelligence Service,SVR,entity,出口管制·军工实体(Annex IV),Export control · military end-user (Annex IV),俄罗斯,Russia,2022-02-25,"Local name: Служба Внешней Разведки Российской Федерации (СВР России)；A.k.a: Foreign Intelligence Service of the Russian Federation (SVR of Russia) ｜ Address(es): 119034, Moscow, Ostozhenka Str., 51, Building 1, Russian Federation Telephone: + 7 495 247-19-38; + 7 (499) 245-3368; + 7 (499) 255-7938 ",Служба Внешней Разведки Российской Федерации (СВР России),Foreign Intelligence Service of the Russian Federation (SVR of Russia),"119034, Moscow, Ostozhenka Str., 51, Building 1, Russian Federation",,
Forensic Center of Nizhniy Novgorod Region Main Directorate of the Ministry of Interior Affairs,,Forensic Center of Nizhniy Novgorod Region Main Directorate of the Ministry of Interior Affairs,entity,出口管制·军工实体(Annex IV),Export control · military end-user (Annex IV),俄罗斯,Russia,2022-02-25,Local name: Главное Управление Министерства Внутренних Дел Российской Федерации по Нижегородской Области (ГУ МВД России по Нижегородской Области)；A.k.a: Main Directorate of the Ministry of Internal Affairs of the Russian Federation for the Nizhny Novgorod Region; GU MIA of Russia for the Nizhny Novg,Главное Управление Министерства Внутренних Дел Российской Федерации по Нижегородской Области (ГУ МВД России по Нижегородской Области),Main Directorate of the Ministry of Internal Affairs of the Russian Federation for the Nizhny Novgorod Region; GU MIA of Russia for the Nizhny Novg,,,
International Center for Quantum Optics and Quantum Technologies (The Russian Quantum Center),International Center for Quantum Optics and Quantum Technologies,The Russian Quantum Center,entity,出口管制·军工实体(Annex IV),Export control · military end-user (Annex IV),俄罗斯,Russia,2022-02-25,"Local name: Общество с Ограниченной Ответственностью «Международный Центр Квантовой Оптики И Квантовых Технологий» (ООО «МЦКТ»); Российский квантовый центр (РКЦ)；A.k.a: RCC; RQC; LLC ""MCCT""; OOO MTsKT ｜ Address(es): 121205, Moscow, Territory of the Skolkovo Innovation Center, Bolshoi Boulevard, 30, ",Общество с Ограниченной Ответственностью «Международный Центр Квантовой Оптики И Квантовых Технологий» (ООО «МЦКТ»); Российский квантовый центр (РКЦ),"RCC; RQC; LLC ""MCCT""; OOO MTsKT","121205, Moscow, Territory of the Skolkovo Innovation Center, Bolshoi Boulevard, 30",,
Irkut Corporation,,Irkut Corporation,entity,出口管制·军工实体(Annex IV),Export control · military end-user (Annex IV),俄罗斯,Russia,2022-02-25,Local name: Публичное Акционерное Общество «Яковлев» (ПАО «Яковлев»); Публичное Акционерное Общество «Научно-Производственная Корпорация «Иркут» (ПАО «Корпорация «Иркут»)；A.k.a: Public Joint Stock Company Yakovlev; PJSC Yakovlev; Irkut Research and Production Corporation Public Joint Company; PJSC I,Публичное Акционерное Общество «Яковлев» (ПАО «Яковлев»); Публичное Акционерное Общество «Научно-Производственная Корпорация «Иркут» (ПАО «Корпорация «Иркут»),Public Joint Stock Company Yakovlev; PJSC Yakovlev; Irkut Research and Production Corporation Public Joint Company; PJSC I,,,
Joint Stock Company Scientific Research Institute of Computing Machinery,,Joint Stock Company Scientific Research Institute of Computing Machinery,entity,出口管制·军工实体(Annex IV),Export control · military end-user (Annex IV),俄罗斯,Russia,2022-02-25,"Local name: Акционерное Общество «Научно-Исследовательский Институт Средств Вычислительной Техники» (АО «НИИ СВТ»)；A.k.a: Scientific Research Institute of Computer Technology; JSC NII SVT; AO NII SVT ｜ Address(es): 610025, Kirov, Melnichnaya Str., 31, Russian Federation Telephone: 8(8332) 67-99-75 W",Акционерное Общество «Научно-Исследовательский Институт Средств Вычислительной Техники» (АО «НИИ СВТ»),Scientific Research Institute of Computer Technology; JSC NII SVT; AO NII SVT,"610025, Kirov, Melnichnaya Str., 31, Russian Federation",,
JSC Central Research Institute of Machine Building (JSC TsNIIMash),JSC Central Research Institute of Machine Building,JSC TsNIIMash,entity,出口管制·军工实体(Annex IV),Export control · military end-user (Annex IV),俄罗斯,Russia,2022-02-25,"Local name: Акционерное Общество «Центральный Научно-Исследовательский Институт Машиностроения» (АО «ЦНИИМаш»)；A.k.a: Federal State Unitary Enterprise Central Research Institute for Machine Building ｜ Address(es): 141070, Moscow Oblast, Korolev, Pionerskaya Str. 4, Building 22, Russian Federation Te",Акционерное Общество «Центральный Научно-Исследовательский Институт Машиностроения» (АО «ЦНИИМаш»),Federal State Unitary Enterprise Central Research Institute for Machine Building,"141070, Moscow Oblast, Korolev, Pionerskaya Str. 4, Building 22, Russian Federation Te",,
JSC Kazan Helicopter Plant Repair Service,,JSC Kazan Helicopter Plant Repair Service,entity,出口管制·军工实体(Annex IV),Export control · military end-user (Annex IV),俄罗斯,Russia,2022-02-25,"Local name: Акционерное Общество «Казанский Вертолетный Завод-Ремонт, Сервис» (АО «КВЗ-РемСервис»)；A.k.a: Kazanski Vertoletny Zavod Remservis; KVZ Remservis ｜ Address(es): 420085, Republic of Tatarstan, Kazan, Tetsevskaya Str., 14, Building 22, Russian Federation Telephone: + 7 (843) 571-90-67 Websi","Акционерное Общество «Казанский Вертолетный Завод-Ремонт, Сервис» (АО «КВЗ-РемСервис»)",Kazanski Vertoletny Zavod Remservis; KVZ Remservis,"420085, Republic of Tatarstan, Kazan, Tetsevskaya Str., 14, Building 22, Russian Federation",,
JSC Shipyard Zaliv (Zaliv Shipbuilding Yard),JSC Shipyard Zaliv,Zaliv Shipbuilding Yard,entity,出口管制·军工实体(Annex IV),Export control · military end-user (Annex IV),,,2022-02-25,"Local name: Открытое Акционерное Общество «Судостроительный Завод «Залив» (ОАО «Судостроительный Завод «Залив»)；A.k.a: Zaliv Shipbuilding Plant ｜ Address(es): 298310, Republic of Crimea, Kerch, Tankistov Str., 4 Telephone: + 7 978 705-23-88 Website: http://zaliv.com/ Email: zaliv@zaliv.com Registrat",Открытое Акционерное Общество «Судостроительный Завод «Залив» (ОАО «Судостроительный Завод «Залив»),Zaliv Shipbuilding Plant,"298310, Republic of Crimea, Kerch, Tankistov Str., 4",,http://zaliv.com/
JSC Rocket and Space Centre – Progress,,JSC Rocket and Space Centre – Progress,entity,出口管制·军工实体(Annex IV),Export control · military end-user (Annex IV),俄罗斯,Russia,2022-02-25,"Local name: «Ракетно-Космический Центр «Прогресс» (РКЦ «Прогресс»)；A.k.a: JSC Progress; RKTs Progress; Progress Rocket Space Centre ｜ Address(es): 443009, Samara Oblast, Samara, Zemets Str., 18, Russian Federation; Moscow, Gilyarovsky Str., 39, Building 1, Room 203, Russian Federation; Arkhangelsk O",«Ракетно-Космический Центр «Прогресс» (РКЦ «Прогресс»),JSC Progress; RKTs Progress; Progress Rocket Space Centre,"443009, Samara Oblast, Samara, Zemets Str., 18, Russian Federation; Moscow, Gilyarovsky Str., 39, Building 1, Room 203, Russian Federation; Arkhangelsk O",,
Kamensk-Uralsky Metallurgical Works JSC,,Kamensk-Uralsky Metallurgical Works JSC,entity,出口管制·军工实体(Annex IV),Export control · military end-user (Annex IV),俄罗斯,Russia,2022-02-25,"Local name: Открытое Акционерное Общество «Каменск-Уральский Металлургический Завод» (ОАО «КУМЗ»)；A.k.a: KUMZ JSC; Kamensk-Ural Metallurgical Plant ｜ Address(es): 623405, Sverdlovsk region, Kamensk-Uralsky, Zavodskaya Str., 5, Russian Federation Telephone: + 7 (3439)39-51-16 Website: https://kumz.ru",Открытое Акционерное Общество «Каменск-Уральский Металлургический Завод» (ОАО «КУМЗ»),KUMZ JSC; Kamensk-Ural Metallurgical Plant,"623405, Sverdlovsk region, Kamensk-Uralsky, Zavodskaya Str., 5, Russian Federation",,https://kumz.ru
Kazan Helicopter Plant PJSC,,Kazan Helicopter Plant PJSC,entity,出口管制·军工实体(Annex IV),Export control · military end-user (Annex IV),俄罗斯,Russia,2022-02-25,"Local name: Акционерное Общество «Казанский Вертолетный Завод» (АО «Казанский Вертолетный Завод»)；A.k.a: Kazan Helicopters; Kazanski Vertoletny Zavod AO ｜ Address(es): 420085, Republic of Tatarstan, Kazan, Tetsevskaya Str., 14, Russian Federation Telephone: + 7 (843) 549 66 99 Website: https://www.r",Акционерное Общество «Казанский Вертолетный Завод» (АО «Казанский Вертолетный Завод»),Kazan Helicopters; Kazanski Vertoletny Zavod AO,"420085, Republic of Tatarstan, Kazan, Tetsevskaya Str., 14, Russian Federation",,
Komsomolsk-na-Amur Aviation Production Organization (KNAAPO),Komsomolsk-na-Amur Aviation Production Organization,KNAAPO,entity,出口管制·军工实体(Annex IV),Export control · military end-user (Annex IV),俄罗斯,Russia,2022-02-25,Local name: Комсомольский-на-Амуре Авиационный Завод имени Ю. А. Гагарина (КнААЗ); Открытое Акционерное Общество «Комсомольское-на-Амуре Авиационное Производственное Объединение имени Ю.А. Гагарина» (ОАО «КнААПО»)；A.k.a: Komsomolsk-on-Amur Aviation Plant named after Y. A. Gagarin; KnAAZ; Branch of P,Комсомольский-на-Амуре Авиационный Завод имени Ю. А. Гагарина (КнААЗ); Открытое Акционерное Общество «Комсомольское-на-Амуре Авиационное Производственное Объединение имени Ю.А. Гагарина» (ОАО «КнААПО»),Komsomolsk-on-Amur Aviation Plant named after Y. A. Gagarin; KnAAZ; Branch of P,,,
Ministry of Defence of the Russian Federation,,Ministry of Defence of the Russian Federation,entity,出口管制·军工实体(Annex IV),Export control · military end-user (Annex IV),俄罗斯,Russia,2022-02-25,"Local name: Министерство Обороны Российской Федерации (Минобороны России)；A.k.a: MOD RF; MO RF ｜ Address(es): 119019, Moscow, Znamenka Str., 19, Russian Federation Website: http://mil.ru/ Email: info@mil.ru Registration number: 7704252261 (Tax ID/INN)",Министерство Обороны Российской Федерации (Минобороны России),MOD RF; MO RF,"119019, Moscow, Znamenka Str., 19, Russian Federation",7704252261 (Tax ID/INN),http://mil.ru/
Moscow Institute of Physics and Technology,,Moscow Institute of Physics and Technology,entity,出口管制·军工实体(Annex IV),Export control · military end-user (Annex IV),俄罗斯,Russia,2022-02-25,"Local name: Федеральное Государственное Автономное Образовательное Учреждение Высшего Образования «Московский Физико-Технический Институт (Национальный Исследовательский Университет)» (МФТИ, ФИЗТЕХ)；A.k.a: MFTI, FizTech; MIPT ｜ Address(es): 117303, Moscow, Kerchenskaya Str., 1A, Building 1, Russian ","Федеральное Государственное Автономное Образовательное Учреждение Высшего Образования «Московский Физико-Технический Институт (Национальный Исследовательский Университет)» (МФТИ, ФИЗТЕХ)","MFTI, FizTech; MIPT","117303, Moscow, Kerchenskaya Str., 1A, Building 1, Russian",,
NPO Splav JSC,,NPO Splav JSC,entity,出口管制·军工实体(Annex IV),Export control · military end-user (Annex IV),俄罗斯,Russia,2022-02-25,"Local name: Акционерное Общество «Научно-Производственное Объединение «Сплав» имени А.Н. Ганичева» (АО «НПО «Сплав» им. А.Н. Ганичева»)；A.k.a: Scientific and Production Association ""SPLAV""; JSC A.N. Ganichev Scientific and Production Association ""SPLAV"" ｜ Address(es): 300004, Tula Oblast, Tula, Shch",Акционерное Общество «Научно-Производственное Объединение «Сплав» имени А.Н. Ганичева» (АО «НПО «Сплав» им. А.Н. Ганичева»),"Scientific and Production Association ""SPLAV""; JSC A.N. Ganichev Scientific and Production Association ""SPLAV""","300004, Tula Oblast, Tula, Shch",,
OPK Oboronprom,,OPK Oboronprom,entity,出口管制·军工实体(Annex IV),Export control · military end-user (Annex IV),俄罗斯,Russia,2022-02-25,"Local name: Акционерное Общество «Объединенная Промышленная Корпорация «Оборонпром» (АО «ОПК «Оборонпром»)；A.k.a: United Industrial Corporation Oboronprom ｜ Address(es): 121357, Moscow, Vereyskaya Str., 29, Building 141, Russian Federation Telephone: + 7 (495) 984-02-15 Website: https://oboronprom.c",Акционерное Общество «Объединенная Промышленная Корпорация «Оборонпром» (АО «ОПК «Оборонпром»),United Industrial Corporation Oboronprom,"121357, Moscow, Vereyskaya Str., 29, Building 141, Russian Federation",,
PJSC Beriev Aircraft Company,,PJSC Beriev Aircraft Company,entity,出口管制·军工实体(Annex IV),Export control · military end-user (Annex IV),俄罗斯,Russia,2022-02-25,"Local name: Публичное Акционерное Общество «Таганрогский Авиационный Научно-Технический Комплекс им. Г.М. Бериева» (ПАО «ТАНТК им. Г.М. Бериева»)；A.k.a: Taganrog Aviation Scientific and Technical Complex named after G. M. Beriev; Public Joint-Stock Company ""Beriev Aircraft""; TANTK ｜ Address(es): 347",Публичное Акционерное Общество «Таганрогский Авиационный Научно-Технический Комплекс им. Г.М. Бериева» (ПАО «ТАНТК им. Г.М. Бериева»),"Taganrog Aviation Scientific and Technical Complex named after G. M. Beriev; Public Joint-Stock Company ""Beriev Aircraft""; TANTK",347,,
POLYUS Research Institute of M.F. Stelmakh Joint Stock Company,,POLYUS Research Institute of M.F. Stelmakh Joint Stock Company,entity,出口管制·军工实体(Annex IV),Export control · military end-user (Annex IV),俄罗斯,Russia,2022-02-25,"Local name: Акционерное Общество «Научно-Исследовательский Институт «Полюс» им. М.Ф.Стельмаха» (АО «НИИ «Полюс» им. М.Ф.Стельмаха»)；A.k.a: Joint Stock Company Institute for Scientific Research Polyus Named After M. F. Stelmakha; NII Polyus; Polyus Scientific Research Institute ｜ Address(es): 117342,",Акционерное Общество «Научно-Исследовательский Институт «Полюс» им. М.Ф.Стельмаха» (АО «НИИ «Полюс» им. М.Ф.Стельмаха»),Joint Stock Company Institute for Scientific Research Polyus Named After M. F. Stelmakha; NII Polyus; Polyus Scientific Research Institute,117342,,
"Promtech-Dubna, JSC",,"Promtech-Dubna, JSC",entity,出口管制·军工实体(Annex IV),Export control · military end-user (Annex IV),俄罗斯,Russia,2022-02-25,"Local name: Акционерное Общество «Промтех-Дубна» (АО «Промтех-Дубна») ｜ Address(es): 141983, Moscow Oblast, Dubna, Programistov Str., 4, Room 364, Russian Federation; 141983, Moscow Oblast, Dubna, Nauki Prospekt, 14, Russian Federation Telephone: + 7 (",Акционерное Общество «Промтех-Дубна» (АО «Промтех-Дубна»),,"141983, Moscow Oblast, Dubna, Programistov Str., 4, Room 364, Russian Federation; 141983, Moscow Oblast, Dubna, Nauki Prospekt, 14, Russian Federation",,
Public Joint Stock Company United Aircraft Corporation,,Public Joint Stock Company United Aircraft Corporation,entity,出口管制·军工实体(Annex IV),Export control · military end-user (Annex IV),俄罗斯,Russia,2022-02-25,"Local name: Публичное Акционерное Общество «Объединенная Авиастроительная Корпорация» (ПАО «ОАК»)；A.k.a: PAO AOK; PJSC UAC ｜ Address(es): 115054, Moscow, Bolshaya Pionerskaya Str., 1, Russian Federation Telephone: + 7 495 926-14-20 Website: http://uacrussia.ru/ Email: office@uacrussia.ru Registratio",Публичное Акционерное Общество «Объединенная Авиастроительная Корпорация» (ПАО «ОАК»),PAO AOK; PJSC UAC,"115054, Moscow, Bolshaya Pionerskaya Str., 1, Russian Federation",,http://uacrussia.ru/
